;InChiKey;SMILES;N_count;Solvent;Target1;Target2;Target3;Target4;
578;DJJULQXQYLDLAQ-UHFFFAOYSA-N;C1CC(=CC(=O)C1)N2CCOCC2;1;;;;;;
579;DJJULQXQYLDLAQ-UHFFFAOYSA-N;C1CC(=CC(=O)C1)N2CCOCC2;1;;;;;;
580;DJJULQXQYLDLAQ-UHFFFAOYSA-N;C1CC(=CC(=O)C1)N2CCOCC2;1;;;;;;
581;DJJULQXQYLDLAQ-UHFFFAOYSA-N;C1CC(=CC(=O)C1)N2CCOCC2;1;;;;;;
606;WIMRHTBSYMSAKI-VOTSOKGWSA-N;CCN(CC)/C=C/C(=O)C;1;CDCl3;-271.2;;;;
607;WIMRHTBSYMSAKI-VOTSOKGWSA-N;CCN(CC)/C=C/C(=O)C;1;CF3COOD;-204.1;;;;
612;WIMRHTBSYMSAKI-VOTSOKGWSA-N;CCN(CC)/C=C/C(=O)C;1;;;;;;
613;WIMRHTBSYMSAKI-VOTSOKGWSA-N;CCN(CC)/C=C/C(=O)C;1;;;;;;
614;WIMRHTBSYMSAKI-VOTSOKGWSA-N;CCN(CC)/C=C/C(=O)C;1;;;;;;
615;WIMRHTBSYMSAKI-VOTSOKGWSA-N;CCN(CC)/C=C/C(=O)C;1;;;;;;
616;MNSLPYMSWMILHJ-UHFFFAOYSA-N;C1=CC=C(C=C1)P(=NS(=O)(=O)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4;1;CDCl3;-285.0;;;;
617;MNSLPYMSWMILHJ-UHFFFAOYSA-N;C1=CC=C(C=C1)P(=NS(=O)(=O)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4;1;;;;;;
636;ZPHSVVDFNWHRQF-UHFFFAOYSA-N;CC(=C=NC1=CC=CC=C1)C;1;CH2Cl2;-169.1;;;;
637;ZPHSVVDFNWHRQF-UHFFFAOYSA-N;CC(=C=NC1=CC=CC=C1)C;1;;;;;;
641;HLVQJUUPEMTTIS-UHFFFAOYSA-N;C1CCC=C(CC1)N2CCOCC2;1;C6H12;-308.6;;;;
642;HLVQJUUPEMTTIS-UHFFFAOYSA-N;C1CCC=C(CC1)N2CCOCC2;1;;;;;;
643;HLVQJUUPEMTTIS-UHFFFAOYSA-N;C1CCC=C(CC1)N2CCOCC2;1;;;;;;
644;HLVQJUUPEMTTIS-UHFFFAOYSA-N;C1CCC=C(CC1)N2CCOCC2;1;;;;;;
645;HLVQJUUPEMTTIS-UHFFFAOYSA-N;C1CCC=C(CC1)N2CCOCC2;1;;;;;;
646;RQVCKGASCQRJKR-UHFFFAOYSA-N;C1COCCN1S(=O)(=O)C(F)(F)F;1;CDCl3;-295.8;;;;
647;RQVCKGASCQRJKR-UHFFFAOYSA-N;C1COCCN1S(=O)(=O)C(F)(F)F;1;;;;;;
652;NOQSJCRGHHHDMD-UHFFFAOYSA-N;CCN(CC)C1=CCCC1;1;C6H12;-308.9;;;;
653;NOQSJCRGHHHDMD-UHFFFAOYSA-N;CCN(CC)C1=CCCC1;1;;;;;;
666;DOCMSFVZGDFQKA-UHFFFAOYSA-N;CN1C2=CC=CC=C2C(=O)C(=C1C(C(=O)OC)OC)C(=O)OC;1;CDCl3;118.3;;;;
667;DOCMSFVZGDFQKA-UHFFFAOYSA-N;CN1C2=CC=CC=C2C(=O)C(=C1C(C(=O)OC)OC)C(=O)OC;1;;;;;;
696;IIBOGKHTXBPGEI-UHFFFAOYSA-N;C1=CC=C(C=C1)CNC=O;1;CDCl3;-256.5;;;;
697;IIBOGKHTXBPGEI-UHFFFAOYSA-N;C1=CC=C(C=C1)CNC=O;1;DMSO ;-256.6;;;;
698;IIBOGKHTXBPGEI-UHFFFAOYSA-N;C1=CC=C(C=C1)CNC=O;1;;;;;;
699;IIBOGKHTXBPGEI-UHFFFAOYSA-N;C1=CC=C(C=C1)CNC=O;1;;;;;;
700;IIBOGKHTXBPGEI-UHFFFAOYSA-N;C1=CC=C(C=C1)CNC=O;1;;;;;;
701;IIBOGKHTXBPGEI-UHFFFAOYSA-N;C1=CC=C(C=C1)CNC=O;1;;;;;;
706;JUIQOABNSLTJSW-UHFFFAOYSA-N;CC1=NCCS1;1;DMSO-D6;-79.2;;;;
707;JUIQOABNSLTJSW-UHFFFAOYSA-N;CC1=NCCS1;1;CDCl3;-87.9;;;;
708;JUIQOABNSLTJSW-UHFFFAOYSA-N;CC1=NCCS1;1;;;;;;
709;JUIQOABNSLTJSW-UHFFFAOYSA-N;CC1=NCCS1;1;;;;;;
724;PWUBONDMIMDOQY-UHFFFAOYSA-N;CC#N.Cl;1;H2SO4;-250.3;;;;
725;PWUBONDMIMDOQY-UHFFFAOYSA-N;CC#N.Cl;1;FSO3H:SBF5:SO2;-243.8;;;;
